family,tracker,f1_sev0,f1_sev1,f1_sev2,f1_sev3,spearman_rho,spearman_p,strict_monotone
centroid_jitter,instantaneous,0.9781957589553132,0.9769778377641151,0.9360723003799898,0.6762857655840374,-1.0,0.0,True
centroid_jitter,history,0.9693674098241798,0.9625801493090606,0.834132060251014,0.5974353773424849,-1.0,0.0,True
detection_dropout,instantaneous,0.9781957589553132,0.9494630475906799,0.9110070690390643,0.8459293549653284,-1.0,0.0,True
detection_dropout,history,0.9693674098241798,0.93978865373671,0.9009787549214799,0.835855913652099,-1.0,0.0,True
