object,width,height,H,C,E,S,Ch,luminance,laplacian_variance,sha256
REM618,840,861,0.27371751885130585,0.1356932429797721,0.04138183728776063,0.5641040893691958,7.704543199451315e-05,0.01932100211358256,655.166656987446,488b858d00d5ba8cd8145de5023da80ed4faa578cdf8fc338b25d25b73122db1
111,854,879,0.4683687492471852,0.06871798987481607,0.00739476678043231,0.5184122142338292,0.005161447335557759,0.02215653414800337,79.00153322152644,7e1d9ec76234bacc22e3b0d6fa1e8fa0f326168c187e0e2faa0891d116549993
QUE_NO,1536,1536,0.7022268449613881,0.2721220870335244,0.05000495910644531,0.5845606374844506,0.029642699255374265,0.0891807144763423,852.2906677157987,a61fc67b93015a20eb40b147693ba3e68c66a8f093bc8c18a2711c92517e41ec
